;WKT;NOMBRE;CARACT_SIT;AUTORES;TECNICA;F_E;TAMAÑO_TS;UBICACION;DIRECCION;DOM_ORIG;CALLE;ALTURA;BARRIO;COMUNA
170;POINT (-58.3720573464766 -34.6101452813746);LA FARMACIA, LA SALUD Y LA ENFERMEDAD;FARMACIA LA ESTRELLA;CARLOS BARBERIS;PINTURA MURAL;1900.0;3 X 3.14;CIELORRASO;ALSINA, ADOLFO y DEFENSA;ADOLFO ALSINA 416, ESQ. DEFENSA;DEFENSA;190;Monserrat;Comuna 1
171;POINT (-58.3763716876341 -34.6087019330975);DIA DE TRABAJO EN LA BOCA;BANCO HSBC;BENITO QUINQUELA MARTIN;OLEO SOBRE MADERA;1962.0;S/M;HALL;DE MAYO AV. y CHACABUCO;AV. DE MAYO 701 ESQ CHACABUCO 15;CHACABUCO;52;Monserrat;Comuna 1
172;POINT (-58.3764388041551 -34.6112409497923);HISTORIA DEL MURO DE BERLIN;LIBRERIA DEL MURO, EDIT. PERFIL;EX BLOQUES DEL MURO DE BERLIN;PINTURA EN AEROSOL;1992.0;S/M;HALL;CHACABUCO 271;CHACABUCO  271 / 285;CHACABUCO;253;Monserrat;Comuna 1
173;POINT (-58.4057351714492 -34.5811662365448);EL NACIMIENTO DE EVA;CLINICA JURI;MARIANO PAGES;RELIEVE EN MARMOL;1967.0;S/M;HALL;CERVIÑO AV. 3261;CERVIÑO 3261/ 67;CERVI\u00d1O AV.;3251;Palermo;Comuna 14
174;POINT (-58.3781804024144 -34.6012196503653);HOMENAJE A GUAMAN POMA DE AYALA;GALERIA DEL CENTRO;LUIS SEOANE;MURAL CERAMICO Y FIGURAS EN HIERRO;1958.0;S/M;ESPACIO CENTRAL;ESMERALDA y TUCUMAN;ESMERALDA 561/ TUCUMAN 764;TUCUMAN;792;San Nicolas;Comuna 1
175;POINT (-58.3881187588582 -34.5883572389417);MUJER Y PALOMA;VIVIENDA MULTIFAMILIAR;JULIO GERO;RELIEVE;1950.0;S/M;FACHADA;ALVEAR AV. y CALLAO AV.;AV. ALVEAR 1800 Y AV. CALLAO;ALVEAR;1800;Recoleta;Comuna 2
176;POINT (-58.4010587233569 -34.6044996592793);TITULO DESCONOCIDO;OFICINAS;AUTOR DESCONOCIDO;MURAL CERAMICO;1970.0;S/M;FACHADA;CORRIENTES AV. 2415;AV. CORRIENTES 2415/25;CORRIENTES AV.;2407;Balvanera;Comuna 3
177;POINT (-58.4539470585514 -34.5618471221023);FIESTA EN EL BARRIO CHINO;VIVIENDA MULTIFAMILIAR;EDUARDO ALONSO CASELLAS;PINTURA MURAL;1980.0;S/M;HALL;ECHEVERRIA y CUBA;ECHEVERRIA 2210 ESQUINA CUBA;CUBA;1997;Belgrano;Comuna 13
178;POINT (-58.3782751425435 -34.595419974849);LAS PESCADORAS;VIVIENDA MULTIFAMILIAR;LUIS SEOANE;CONCRETO/RESINAS/METAL;1934.0;S/M;HALL;ESMERALDA 1075;ESMERALDA 1075 / 77;ESMERALDA;1089;Retiro;Comuna 1
179;POINT (-58.3782751425435 -34.595419974849);ESCENAS CAMPESINAS;VIVIENDA MULTIFAMILIAR;LUIS SEOANE;VITRAUX;1934.0;S/M;HALL;ESMERALDA 1075;ESMERALDA 1075 / 77;ESMERALDA;1089;Retiro;Comuna 1
180;POINT (-58.3701951082343 -34.6089872776541);LA PESCA;MINISTERIO DE ECONOMIA;GREGORIO LOPEZ NAGUIL;OLEO S/ TELA;1939.0;4.85 X 4.00;HALL;YRIGOYEN, HIPOLITO AV. 250;HIPOLITO YRIGOYEN 250 / BALCARCE 139;YRIGOYEN, HIPOLITO AV.;250;Monserrat;Comuna 1
181;POINT (-58.3701951082343 -34.6089872776541);TIERRA DE PROMISION;MINISTERIO DE ECONOMIA;CESAREO BERNALDO DE QUIROS;OLEO S/ TELA;1939.0;4.85 X 4.00;HALL;YRIGOYEN, HIPOLITO AV. 250;HIPOLITO YRIGOYEN 250 / BALCARCE 139;YRIGOYEN, HIPOLITO AV.;250;Monserrat;Comuna 1
182;POINT (-58.3708024895391 -34.5907068739264);;EDIFICIO DE TRIBUNALES;ATILIO BOVERI;PINTURA S/ VIDRIO;0.0;S/M;;PY, COMODORO AV. y ANTARTIDA ARGENTINA AV.;COMODORO PY 2002 Y AV. ANTARTIDA ARGENTINA;;;Retiro;Comuna 1
183;POINT (-58.381388949827 -34.6122069769358);EN PLENA ACTIVIDAD;MINISTERIO DE SALUD;BENITO QUINQUELA MARTIN;PINTURA MURAL;1938.0;S/M;DESPACHO MINISTERIAL;9 DE JULIO AV. 1925;AV. 9 DE JUKIO 1925;9 DE JULIO AV.;1925;Monserrat;Comuna 1
184;POINT (-58.3978889807245 -34.5846225839475);A LA BIBLIOTECA NACIONAL;BIBLIOTECA NACIONAL;CARLOS PAEZ VILARO;PINTURA MURAL;1998.0;S/M;HALLPRIMER PISO;AGUERO 2502;AGÜERO 2502;AGUERO;2473;Recoleta;Comuna 2
185;POINT (-58.3788463016016 -34.593920553009);AMERICA Y LA FORTUNA;PALACIO SAN MARTIN;MARCELLE RONDENAY;MAROUFLAGE (OLEO SOBRE TELA PEGADO AL CIELORRASO);1910.0;S/M;CIELORRASO SALON DORADO;ARENALES 819;ARENALES 819;ESMERALDA;1212;Retiro;Comuna 1
186;POINT (-58.3776514608038 -34.5954265533686);;CIRCULO MILITAR, EX PALACIO PAZ;;VITRAUX;1912.0;16 X 3.14;CUPULA DEL GRAN HALLDE HONOR;SANTA FE AV. 750;AV. SANTA FE 750;SANTA FE AV.;760;Retiro;Comuna 1
187;POINT (-58.368983122084 -34.5840029596311);DIA DE TRABAJO;TERMINAL DE CRUCEROS;BENITO QUINQUELA MARTIN;OLEO S/ SOPORTE RIGIDO;1930.0;18 X 3.20;;DE LOS INMIGRANTES AV. y CASTILLO, RAMON S., PRES. AV.;AV.DE LOS INMIGRANTES Y AV.PTE. CASTILLO;DE LOS INMIGRANTES AV.;2580;Retiro;Comuna 1
188;POINT (-58.3998606259969 -34.5827789129735);ACTIVIDADES DEL PAIS;AUTOMOVIL CLUB ARGENTINO;EMILIO CENTURION / DANTE ORTOLANI;FRESCO;1942.0;S/M;SALON DE ACTOS;DEL LIBERTADOR AV. 1850;AV.DEL LIBERTADOR 1850;DEL LIBERTADOR AV.;1850;Palermo;Comuna 14
189;POINT (-58.3998606259969 -34.5827789129735);LA PANAMERICANA;AUTOMOVIL CLUB ARGENTINO;ALFREDO GUIDO;FRESCO;1942.0;S/M;SALON DE TURISMO;DEL LIBERTADOR AV. 1850;AV.DEL LIBERTADOR 1850;DEL LIBERTADOR AV.;1850;Palermo;Comuna 14
190;POINT (-58.3998606259969 -34.5827789129735);LAS ESTACIONES DE SERVICIO;AUTOMOVIL CLUB ARGENTINO;HECTOR BASALDUA;FRESCO;1942.0;S/M;HALL8s PISO;DEL LIBERTADOR AV. 1850;AV.DEL LIBERTADOR 1850;DEL LIBERTADOR AV.;1850;Palermo;Comuna 14
191;POINT (-58.3998606259969 -34.5827789129735);UN ALTO EN LA RUTA;AUTOMOVIL CLUB ARGENTINO;MERCEDES RODRIGUE / JORGE SOTO ACEBAL;FRESCO;1942.0;S/M;SALON COMEDOR, 9s PISO;DEL LIBERTADOR AV. 1850;AV.DEL LIBERTADOR 1850;DEL LIBERTADOR AV.;1850;Palermo;Comuna 14
