DOMICILIO;CARACT_SITIO;AUTORES;F_E;TAAÑO_TS;UBICACION;TECNICA;NOMBRE_OBRA
AV. PEDRO DE MENDOZA 1835;ESCUELA MUSEO;BENITO QUINQUELA MARTIN;1936;6.50 X 2.70;"AULA ""A.ALICE""";OLEO S/ TELA;CARGADORAS DE NARANJAS EN CORRIENTES
AV. PEDRO DE MENDOZA 1835;ESCUELA MUSEO;BENITO QUINQUELA MARTIN;1936;6 X 2.70;"AULA ""L.C.MORALES""";OLEO S/ TELA;BUZOS EN EL FONDO DEL MAR
AV. PEDRO DE MENDOZA 1835;ESCUELA MUSEO;BENITO QUINQUELA MARTIN;1936;6 X 2.70;"AULA ""F.FADER""";OLEO S/ TELA;FOGATA DE SAN JUAN
AV. PEDRO DE MENDOZA 1835;ESCUELA MUSEO;BENITO QUINQUELA MARTIN;1936;5 X 2.60;"AULA ""J. BERMUDEZ""";OLEO S/ TELA;INUNDACION EN LA BOCA
AV. PEDRO DE MENDOZA 1835;ESCUELA MUSEO;BENITO QUINQUELA MARTIN;1936;6.50 X 3.00;"AULA ""P.COLIVADINO""";OLEO S/ TELA;LA BOCA EN EL AÑO 1860
AV. PEDRO DE MENDOZA 1835;ESCUELA MUSEO;BENITO QUINQUELA MARTIN;1936;6.50 X 2.70;"AULA ""P.Z.BRIANO""";OLEO S/ TELA;BENDICION DE LAS BARCAS
AV. PEDRO DE MENDOZA 1835;ESCUELA MUSEO;BENITO QUINQUELA MARTIN;1936;9 X 3.00;PATIO CUBIERTO;OLEO S/ TELA;CARNAVAL EN LA BOCA
AV. PEDRO DE MENDOZA 1835;ESCUELA MUSEO;BENITO QUINQUELA MARTIN;1936;4.50 X 5.00;PATIO DEL 1° PISO;OLEO S/ TELA;EMBARQUE DE CEREALES
AV. PEDRO DE MENDOZA 1835;ESCUELA MUSEO;BENITO QUINQUELA MARTIN;1936;6.50 X 3.00;"AULA ""MENDILAMARZU""";OLEO S/ TELA;MASCARONES
AV. PEDRO DE MENDOZA 1835;ESCUELA MUSEO;BENITO QUINQUELA MARTIN;1936;6.50 X 2.70;"AULA ""T. DE LIBIAN""";OLEO S/ TELA;CARGADORES DE CARBON
AV. PEDRO DE MENDOZA 1835;ESCUELA MUSEO;BENITO QUINQUELA MARTIN;1936;9 X 3.00;PATIO CUBIERTO;MURAL CERAMICO;EL DESFILE DEL CIRCO
AV. PEDRO DE MENDOZA 1835;ESCUELA MUSEO;BENITO QUINQUELA MARTIN;1936;6.50 X 2.70;PATIO CUBIERTO;MURAL CERAMICO;SALUDO A LA BANDERA
AV. PEDRO DE MENDOZA 1835;ESCUELA MUSEO;HEBE SALVAT;1936;1.96 X 1.05;PATIO DEL 1° PISO;MURAL CERAMICO;EL ANGEL CAMPESINO
CALIFORNIA 1925;ESC. TTE. GRAL. ROSENDO FRAGA;GERARDO CIANCIOLO;2001;S/M;FACHADA;PINTURA MURAL;TITULO DESCONOCIDO
GENERAL URQUIZA 277;ESC. NORMAL SUPERIOR Nº2  MARIANO ACOSTA;NAZARENO ORLANDI;1910;S/M;SALON DE ACTOS;MAROUFLAGE (OLEO SOBRE TELA PEGADO AL CIELORRASO);TITULO DESCONOCIDO
JUAN AGUSTIN GARCIA 2755;"ESCUELA Nº7, DE 17, ""REPUBLICA DE MEXICO""";BENITO QUINQUELA MARTIN;1941;S/M;HALL;OLEO Y CERA EN CHAPAS DE CELOTEX;TRABAJO 
JULIAN ALVAREZ 2849;"ESCUELA Nº12, DE1, ""GRAL. LAS HERAS""";DEL PIERO - CARDENAS;1999;8.00 X 10.00;;ESGRAFIADO;TITULO DESCONOCIDO
MERCEDES 4002;"ESC.EM 3, DE17, ""ANTONIO DEVOTO""";RODOLFO CAMPODONICO;1967;7.50 X 3.60;SALON DE ACTOS;OLEO SOBRE TELA;TITULO DESCONOCIDO
OLAVARRIA 486;COLEGIO SAN JUAN EVANGELISTA;DOMINGO IANANTUONI;1969;S/M;FACHADA;MURAL CERAMICO;HUMANIZACION AL TRABAJO. CRISTO EN LA BOCA. DIGNIFICACION DE LA VIDA
PRESIDENTE LUIS SAENZ PEÑA 1215;"ESC Nº11, DE 3 ""DR. RICARDO GUTIERREZ""";GERARDO CIANCIOLO;2003;S/M;FACHADA;PINTURA MURAL;HOMENAJE A LA ESCUELA PUBLICA
YERBAL 2370;"ESCUELA Nº1, DE 12 ""GRAL. URQUIZA""";RAUL SOLDI;1975;2 X 3;PATIO CUBIERTO;MURAL CERAMICO;SANTA ANA Y LA VIRGEN NIÑA IMAGINANDO SUS SUEÑOS
ZABALA 1837;UNIVERSIDAD DE BELGRANO;PEREZ CELIS;1997;S/M;HALL;MURAL EN MADERA Y ACERO INOXIDABLE;EL CAMINO DEL CONOCIMIENTO
BRANDSEN 805;CLUB ATLETICO BOCA JUNIORS;ROMULO MACCIO;1999;S/M;FRENTE/S DEL VALLE IBARLUCEA;ESMALTE SINTETICO S/ PANELES METALICOS;ALEGORIAS
BRANDSEN 805;CLUB ATLETICO BOCA JUNIORS;PEREZ CELIS;1999;S/M;FRENTE/S DEL VALLE IBARLUCEA;ALTORELIEVE CON MOSAICO VENECIANO;IDOLOS
BRANDSEN 805;CLUB ATLETICO BOCA JUNIORS;PEREZ CELIS;1999;S/M;FRENTE/S DEL VALLE IBARLUCEA;ALTORELIEVE CON MOSAICO VENECIANO;MITO Y DESTINO
BRANDSEN 805;CLUB ATLETICO BOCA JUNIORS;BENITO QUINQUELA MARTIN;1941;5 X 7;HALLDE ENTRADA;OLEO S/ AGLOMERADO DE MADERA;EL ORIGEN DE LOS COLORES DE LA BANDERA DE BOCA
BRANDSEN 805;CLUB ATLETICO BOCA JUNIORS;GERARDO CIANCIOLO / MARCELO CARPITA;1994;S/M;FRENTE S/BRANDSEN;PINTURA MURAL;DALE BOCA
AV. FIGUEROA ALCORTA 7597;CLUB RIVER PLATE;BENITO QUINQUELA MARTIN;1937;S/M;CONFITERIA DEL ESTADIO;OLEO SOBRE MADERA;EL CAMPEON
AV. FIGUEROA ALCORTA 7597;CLUB RIVER PLATE;BENITO QUINQUELA MARTIN;1937;S/M;CONFITERIA DEL ESTADIO;OLEO SOBRE MADERA;LA PRIMERA CANCHA DE RIVER
AV. ALVAREZ JONTE 4767;GALERIA JONTE;JUAN MANUEL SANCHEZ;1965;S/M;ACCESO;PINTURA MURAL;LA FAMILIA
AV. CABILDO 2869;CINE ARTEPLEX BELGRANO, EX CINE SAVOY;ROBERTO DEL VILLANO;1991;S/M;PRIMER PISO;PINTURA MURAL;HOMENAJE AL CINE
AV. CORRIENTES 1145;GALERIA DEL OBELISCO;JUAN CARLOS CASTAGNINO;1961;4 X 5;ACCESOPOR AV. CORRIENTES;PINTURA MURALAL OLEO;DESPERTAR EN LA LLANURA
AV. CORRIENTES 1369;PIZZERIA LOS INMORTALES;CARLOS LEONETTI;1955;S/M;SALON;PINTURA MURAL;GARDEL EN LA CALLE CORRIENTES
AV. CORRIENTES 1551;LIBRERIA LOSADA;JUAN CARLOS CASTAGNINO;1941;3 X 6;SALON ;FRESCO;HOMENAJE AL CINE
